DCA_Code,Common_Name,Scientific_Name,Category
14016,beech scale,Cryptococcus fagisuga,Sap Feeders
14017,spruce aphid,Elatobium abietinum,Sap Feeders
14018,woolly apple aphid,Eriosoma lanigerum,Sap Feeders
14019,striped mealybug,Ferrisia virgata,Sap Feeders
14020,elongate hemlock scale,Fiorinia externa,Sap Feeders
14021,coconut red scale,Furcaspis oceanica,Sap Feeders
14022,pine thrips,Gnophothrips spp.,Sap Feeders
14023,leucaena psyllid,Heteropsylla cubana,Sap Feeders
14024,honeysuckle aphids,Hyadaphis tataricae,Sap Feeders
14025,Egyptian fluted scale,Icerya aegyptiaca,Sap Feeders
14026,Lecanium scale,Lecanium spp.,Sap Feeders
14027,common falsepit scale,Lecanodiaspis prosopidis,Sap Feeders
14028,oystershell scale,Lepidosaphes ulmi,Sap Feeders
14029,pinyon needle scale,Matsucoccus acalyptus,Sap Feeders
14030,ponderosa pine twig scale,Matsucoccus bisetosus,Sap Feeders
14031,pine twig scale,Matsucoccus californicus,Sap Feeders
14032,ponderosa pine scale,Matsucoccus degeneratus,Sap Feeders
14033,red pine scale,Matsucoccus resinosae,Sap Feeders
14034,Prescott scale,Matsucoccus vexillorum,Sap Feeders
14035,treehoopers,<Membracidae>,Sap Feeders
14036,hibiscus psyllid,Mesohomotoma hibisci,Sap Feeders
14037,balsam twig aphid,Mindarus abietinus,Sap Feeders
14038,hibiscus mealybug,Nipaecoccus viridis,Sap Feeders
14039,black pineleaf scale,Nuculaspis californica,Sap Feeders
14040,spruce spider mite,Oligonychus ununguis,Sap Feeders
14042,woolly alder aphid,Paraprociphilus tessellatus,Sap Feeders
14043,maple aphids,Periphyllus spp.,Sap Feeders
14044,spruce bud scale,Physokermes piceae,Sap Feeders
14045,red pine adelgid,Pineus borneri,Sap Feeders
14046,pine leaf adelgid,Pineus pinifoliae,Sap Feeders
14048,pine bark adelgid,Pineus strobi,Sap Feeders
14049,smoky-winged ash aphid,Prociphilus americanus,Sap Feeders
14050,mealybug,<Pseudococcidae>,Sap Feeders
14051,cottony maple scale,Pulvinaria innumerabilis,Sap Feeders
14052,fir mealybug,Puto cupressi,Sap Feeders
14053,Douglas-fir mealybug,Puto profusus,Sap Feeders
14054,spruce mealybug,Puto sandini,Sap Feeders
14055,hemispherical scale,Saissetia coffeae,Sap Feeders
14056,woolly pine needle aphid,Schizolachnus piniradiatae,Sap Feeders
14057,steatococcus scale,Steatococcus samaraius,Sap Feeders
14058,pear thrips,Taeniothrips inconsequens,Sap Feeders
14059,mulberry whitefly,Tetraleurodes mori,Sap Feeders
14060,tuliptree scale,Toumeyella liriodendri,Sap Feeders
14061,pine tortoise scale,Toumeyella parvicornis,Sap Feeders
14062,citrus snow scale,Unaspis citri,Sap Feeders
14063,birch aphid,Euceraphis betulae,Sap Feeders
14064,Kermes scale,Allokermes spp.,Sap Feeders
14065,Casuarina spittlebug,Clastoptera undulata,Sap Feeders
14066,giant bark aphid,Longistigma caryae,Sap Feeders
14067,woolly pine scale,Pseudophilippia quaintancii,Sap Feeders
14068,European elm scale,Gossyparia spuria,Sap Feeders
14069,elm scurfy scale,Chionaspis americana,Sap Feeders
14070,magnolia scale,Neolecanium cornuparvum,Sap Feeders
14071,beech blight aphid,Fagiphagus imbricator,Sap Feeders
14072,beech woolly aphid,Phyllaphis fagi,Sap Feeders
14073,Asian cycad scale,Aulacaspis yasumatsui,Sap Feeders
14074,European fruit lecanium scale,Parthenolecanium corni,Sap Feeders
14075,lobate lac scale,Paratachardina lobata,Sap Feeders
14076,calico scale,Eulecanium cerasorum,Sap Feeders
14077,California red scale,Aonidiella aurantii,Sap Feeders
14078,circular hemlock scale,Nuculaspis tsugae,Sap Feeders
14079,cottony cushion scale,Icerya purchasi,Sap Feeders
14080,eucalyptus psyllid,Blastopsylla occidentalis,Sap Feeders
14081,golden oak scale,Asterolecanium variolosum,Sap Feeders
14082,juniper scale,Carulaspis juniperi,Sap Feeders
14083,pink hibiscus mealybug,Maconellicoccus hirsutus,Sap Feeders
14084,San Jose scale,Diaspidiotus perniciosus,Sap Feeders
14085,oak pit scale A. minus,Asterolecanium minus,Sap Feeders
14086,bluegum psyllid,Ctenarytaina eucalypti,Sap Feeders
14087,linden aphid,Eucallipterus tiliae,Sap Feeders
14088,Norway maple aphid,Periphyllus lyropictus,Sap Feeders
14089,camphor scale,Pseudaonidia duplex,Sap Feeders
14090,spotted lanternfly,Lycorma delicatula,Sap Feeders
14091,ash whitefly,Siphoninus phillyreae,Sap Feeders
14093,ash plant bug,Tropidosteptes amoenus,Sap Feeders
14094,coconut scale,Aspidiotus destructor,Sap Feeders
14095,leafhopper,<Cicadellidae>,Sap Feeders
14096,California tortoiseshell,Nymphalis californica,Sap Feeders
14097,tarnished plant bug,Lygus lineolaris,Sap Feeders
14098,adelgids,<Adelgidae>,Sap Feeders
14099,harrisia cactus mealybug,Hypogeococcus pungens,Sap Feeders
14100,crepemyrtle bark scale,Acanthococcus lagerstroemiae,Sap Feeders
14800,"other sap feeder, known (code pending)","<other sap feeder, known (code pending)>",Sap Feeders
14900,unknown sap feeder,<unknown sap feeder>,Sap Feeders
15001,shoot borers,<shoot borers>,Wood Borers
15002,termites,<Termitoidae>,Wood Borers
15003,ponderosa pine bark borer,Acanthocinus princeps,Wood Borers
15004,bronze birch borer,Agrilus anxius,Wood Borers
15005,twolined chestnut borer,Agrilus bilineatus,Wood Borers
15006,bronze poplar borer,Agrilus liragus,Wood Borers
15007,carpenter bees,<Apidae>,Wood Borers
