CODE,Title_Name
22072,White Ring Rot
22073,Hemlock Canker
22074,Cedar Brown Pocket Rot
22075,Lachnellula Canker
22076,Strumella Canker
22077,Phomopsis Blight
22078,Nectria Canker of Yellow Poplar
22079,Sterile Conk of Maple and Beech
22080,Aleurodiscus Canker
22081,Birch Conk
22082,Discocainia Canker
22083,Red Ring Rot Canker
22084,Douglas-fir Cankers
22085,Scleroderris Canker of Western Firs
22086,Thousand Cankers Disease
22087,Dothichiza Canker of Poplar
22088,Willow Scab
22089,Apple Scab
22090,Crown Gall
22091,Sudden Oak Death
22092,Diplodia Canker
22093,Eutypella Canker of Maple
22094,Coral Spot Fungus
22095,Rough Bark of Alder
22096,Diplodia Gall
22097,California Bay Laurel Dieback
22098,Pistachio Canker
22099,Aspen Running Canker
22700,Canker (General)
